"",date,open,high,low,close,adjClose,volume
0,2010-06-29,1.270,1.6700,1.17000,1.59,1.59,281494500
1,2010-06-30,1.720,2.0300,1.55000,1.59,1.59,257806500
2,2010-07-01,1.670,1.7300,1.35000,1.46,1.46,123282000
3,2010-07-02,1.530,1.5400,1.25000,1.28,1.28,77097000
4,2010-07-06,1.330,1.3300,1.06000,1.07,1.07,103003500
5,2010-07-07,1.090,1.1100,0.99867,1.05,1.05,103825500
6,2010-07-08,1.080,1.1700,1.04000,1.16,1.16,115671000
7,2010-07-09,1.170,1.1900,1.10000,1.16,1.16,60759000
8,2010-07-12,1.200,1.2000,1.13000,1.14,1.14,33037500
9,2010-07-13,1.160,1.2400,1.13000,1.21,1.21,40201500
10,2010-07-14,1.200,1.3400,1.18000,1.32,1.32,62928000
11,2010-07-15,1.330,1.4300,1.27000,1.33,1.33,56097000
12,2010-07-16,1.380,1.4200,1.34000,1.38,1.38,39319500
13,2010-07-19,1.420,1.4800,1.39000,1.46,1.46,37297500
14,2010-07-20,1.460,1.4600,1.34000,1.35,1.35,27379500
15,2010-07-21,1.380,1.3900,1.30000,1.35,1.35,18787500
16,2010-07-22,1.370,1.4200,1.36000,1.40,1.40,14367000
17,2010-07-23,1.410,1.4400,1.40000,1.42,1.42,9804000
18,2010-07-26,1.430,1.4300,1.35000,1.40,1.40,13833000
19,2010-07-27,1.390,1.4100,1.35000,1.37,1.37,9295500
20,2010-07-28,1.370,1.3900,1.37000,1.38,1.38,7008000
21,2010-07-29,1.380,1.3900,1.33000,1.36,1.36,9240000
22,2010-07-30,1.350,1.3600,1.30000,1.33,1.33,6403500
23,2010-08-02,1.370,1.4000,1.36000,1.39,1.39,10771500
24,2010-08-03,1.400,1.4600,1.39000,1.46,1.46,18457500
25,2010-08-04,1.460,1.4800,1.39000,1.42,1.42,13695000
26,2010-08-05,1.440,1.4400,1.34000,1.36,1.36,11943000
27,2010-08-06,1.340,1.3400,1.30000,1.31,1.31,11128500
28,2010-08-09,1.330,1.3300,1.30000,1.31,1.31,12190500
29,2010-08-10,1.310,1.3100,1.25000,1.27,1.27,19219500
30,2010-08-11,1.250,1.2600,1.19000,1.19,1.19,11964000
31,2010-08-12,1.190,1.1900,1.16000,1.17,1.17,10365000
32,2010-08-13,1.210,1.2300,1.18000,1.22,1.22,9510000
33,2010-08-16,1.230,1.2500,1.22000,1.25,1.25,7287000
34,2010-08-17,1.260,1.2900,1.25000,1.28,1.28,6718500
35,2010-08-18,1.310,1.3100,1.24000,1.25,1.25,9019500
36,2010-08-19,1.240,1.2800,1.22000,1.25,1.25,8686500
37,2010-08-20,1.240,1.2700,1.23000,1.27,1.27,4440000
38,2010-08-23,1.270,1.3600,1.27000,1.34,1.34,16321500
39,2010-08-24,1.280,1.3100,1.26000,1.28,1.28,10096500
40,2010-08-25,1.280,1.3300,1.24000,1.33,1.33,7549500
41,2010-08-26,1.330,1.3500,1.31000,1.32,1.32,6507000
42,2010-08-27,1.320,1.3200,1.30000,1.31,1.31,5694000
43,2010-08-30,1.310,1.3500,1.31000,1.32,1.32,10992000
44,2010-08-31,1.310,1.3200,1.29000,1.30,1.30,3016500
45,2010-09-01,1.310,1.3800,1.31000,1.36,1.36,7423500
46,2010-09-02,1.360,1.4200,1.35000,1.40,1.40,7306500
47,2010-09-03,1.390,1.4200,1.38000,1.40,1.40,6519000
48,2010-09-07,1.370,1.4000,1.37000,1.37,1.37,3651000
49,2010-09-08,1.380,1.4000,1.37000,1.39,1.39,4326000
50,2010-09-09,1.400,1.4000,1.38000,1.38,1.38,5643000
51,2010-09-10,1.380,1.4000,1.32000,1.34,1.34,5799000
52,2010-09-13,1.390,1.3900,1.37000,1.38,1.38,5412000
53,2010-09-14,1.370,1.4400,1.37000,1.41,1.41,9820500
54,2010-09-15,1.400,1.4700,1.39000,1.47,1.47,10269000
55,2010-09-16,1.480,1.5400,1.39000,1.40,1.40,40267500
56,2010-09-17,1.400,1.4200,1.32000,1.35,1.35,17977500
57,2010-09-20,1.380,1.4200,1.34000,1.40,1.40,14212500
58,2010-09-21,1.390,1.4400,1.38000,1.38,1.38,11940000
59,2010-09-22,1.390,1.4000,1.32000,1.32,1.32,14443500
60,2010-09-23,1.330,1.3400,1.30000,1.30,1.30,10021500
61,2010-09-24,1.330,1.3500,1.31000,1.34,1.34,8683500
62,2010-09-27,1.360,1.3900,1.34000,1.37,1.37,6279000
63,2010-09-28,1.400,1.4300,1.38000,1.43,1.43,18217500
64,2010-09-29,1.410,1.4700,1.41000,1.47,1.47,29539500
65,2010-09-30,1.470,1.4800,1.35000,1.36,1.36,32937000
66,2010-10-01,1.380,1.3800,1.35000,1.37,1.37,8965500
67,2010-10-04,1.360,1.4100,1.35000,1.40,1.40,9654000
68,2010-10-05,1.410,1.4200,1.40000,1.41,1.41,4980000
69,2010-10-06,1.400,1.4200,1.35000,1.36,1.36,4701000
70,2010-10-07,1.370,1.3800,1.36000,1.36,1.36,2115000
71,2010-10-08,1.360,1.3900,1.36000,1.36,1.36,4017000
72,2010-10-11,1.360,1.3800,1.34000,1.35,1.35,2568000
73,2010-10-12,1.350,1.3500,1.34000,1.35,1.35,3660000
74,2010-10-13,1.380,1.3900,1.36000,1.37,1.37,4773000
75,2010-10-14,1.400,1.4000,1.36000,1.38,1.38,4422000
76,2010-10-15,1.390,1.3900,1.35000,1.37,1.37,4270500
77,2010-10-18,1.370,1.3800,1.35000,1.35,1.35,2442000
78,2010-10-19,1.350,1.3600,1.33000,1.34,1.34,3678000
79,2010-10-20,1.340,1.3800,1.34000,1.38,1.38,4687500
80,2010-10-21,1.370,1.4000,1.36000,1.38,1.38,6256500
81,2010-10-22,1.380,1.4000,1.37000,1.38,1.38,2416500
82,2010-10-25,1.400,1.4000,1.38000,1.39,1.39,1777500
83,2010-10-26,1.390,1.4600,1.37000,1.42,1.42,9913500
84,2010-10-27,1.420,1.4300,1.38000,1.40,1.40,5347500
85,2010-10-28,1.430,1.4300,1.40000,1.41,1.41,3363000
86,2010-10-29,1.410,1.4600,1.40000,1.46,1.46,4209000
87,2010-11-01,1.460,1.5200,1.42000,1.43,1.43,6837000
88,2010-11-02,1.450,1.4600,1.40000,1.42,1.42,4837500
89,2010-11-03,1.420,1.5000,1.41000,1.45,1.45,5589000
90,2010-11-04,1.510,1.6900,1.48000,1.66,1.66,28110000
91,2010-11-05,1.660,1.6600,1.58000,1.63,1.63,15165000
92,2010-11-08,1.630,1.6700,1.60000,1.67,1.67,7642500
93,2010-11-09,1.670,1.7100,1.60000,1.64,1.64,14346000
94,2010-11-10,1.630,2.0000,1.60000,1.96,1.96,45907500
95,2010-11-11,1.910,1.9400,1.82000,1.87,1.87,29179500
96,2010-11-12,1.880,2.0300,1.87000,1.99,1.99,40936500
97,2010-11-15,2.010,2.2000,2.01000,2.05,2.05,39343500
98,2010-11-16,2.070,2.0900,1.89000,1.98,1.98,20214000
99,2010-11-17,2.010,2.0500,1.91000,1.97,1.97,11250000
100,2010-11-18,2.040,2.0500,1.93000,1.99,1.99,14341500
101,2010-11-19,2.010,2.0900,1.98000,2.07,2.07,17257500
102,2010-11-22,2.100,2.2300,2.10000,2.23,2.23,22945500
103,2010-11-23,2.220,2.3800,2.15000,2.30,2.30,23667000
104,2010-11-24,2.350,2.4000,2.29000,2.36,2.36,21375000
105,2010-11-26,2.370,2.4000,2.32000,2.35,2.35,5259000
106,2010-11-29,2.360,2.4000,2.22000,2.29,2.29,17184000
107,2010-11-30,2.250,2.3600,2.23000,2.36,2.36,33339000
108,2010-12-01,2.390,2.4300,2.23000,2.29,2.29,19488000
109,2010-12-02,2.270,2.2900,2.08000,2.16,2.16,30105000
110,2010-12-03,2.130,2.1500,2.06000,2.10,2.10,17401500
111,2010-12-06,2.090,2.1000,1.97000,2.02,2.02,19116000
112,2010-12-07,2.030,2.1600,2.00000,2.10,2.10,19669500
113,2010-12-08,2.170,2.1700,2.10000,2.16,2.16,9900000
114,2010-12-09,2.170,2.1800,2.11000,2.14,2.14,6090000
115,2010-12-10,2.140,2.1900,2.08000,2.10,2.10,6441000
116,2010-12-13,2.110,2.1200,2.03000,2.04,2.04,6156000
117,2010-12-14,2.020,2.0300,1.85000,1.90,1.90,26485500
118,2010-12-15,1.910,2.0000,1.90000,1.97,1.97,11143500
119,2010-12-16,2.000,2.0600,1.98000,2.05,2.05,11851500
120,2010-12-17,2.090,2.1000,2.05000,2.09,2.09,12195000
121,2010-12-20,2.110,2.1500,2.08000,2.11,2.11,7851000
122,2010-12-21,2.120,2.1800,2.11000,2.15,2.15,11665500
123,2010-12-22,2.150,2.1900,2.11000,2.18,2.18,12499500
124,2010-12-23,2.080,2.1700,1.99000,2.01,2.01,23289000
125,2010-12-27,1.870,1.9100,1.67000,1.70,1.70,139528500
126,2010-12-28,1.720,1.7800,1.67000,1.76,1.76,60844500
127,2010-12-29,1.800,1.8700,1.77000,1.85,1.85,49788000
128,2010-12-30,1.850,1.8600,1.76000,1.77,1.77,30616500
129,2010-12-31,1.770,1.8200,1.77000,1.78,1.78,21268500
130,2011-01-03,1.790,1.8000,1.73000,1.77,1.77,19245000
131,2011-01-04,1.780,1.8000,1.73000,1.78,1.78,17811000
132,2011-01-05,1.770,1.7900,1.75000,1.79,1.79,21700500
133,2011-01-06,1.790,1.8700,1.79000,1.86,1.86,30918000
134,2011-01-07,1.870,1.9100,1.86000,1.88,1.88,33718500
135,2011-01-10,1.880,1.9100,1.87000,1.90,1.90,20140500
136,2011-01-11,1.910,1.9100,1.79000,1.80,1.80,25653000
137,2011-01-12,1.800,1.8300,1.77000,1.80,1.80,14466000
138,2011-01-13,1.800,1.8000,1.74000,1.75,1.75,10854000
139,2011-01-14,1.740,1.7700,1.71000,1.72,1.72,17880000
140,2011-01-18,1.700,1.7100,1.65000,1.71,1.71,24325500
141,2011-01-19,1.680,1.7000,1.58000,1.60,1.60,35572500
142,2011-01-20,1.600,1.6300,1.49000,1.51,1.51,34198500
143,2011-01-21,1.540,1.5700,1.51000,1.54,1.54,18255000
144,2011-01-24,1.570,1.6500,1.55000,1.63,1.63,24676500
145,2011-01-25,1.640,1.6600,1.60000,1.65,1.65,19072500
146,2011-01-26,1.650,1.6600,1.61000,1.65,1.65,16198500
147,2011-01-27,1.650,1.6700,1.64000,1.66,1.66,13435500
148,2011-01-28,1.660,1.6600,1.58000,1.60,1.60,15726000
149,2011-01-31,1.600,1.6100,1.57000,1.61,1.61,12454500
150,2011-02-01,1.620,1.6500,1.57000,1.59,1.59,10617000
151,2011-02-02,1.610,1.6100,1.58000,1.60,1.60,8542500
152,2011-02-03,1.590,1.5900,1.54000,1.58,1.58,7680000
153,2011-02-04,1.560,1.5800,1.55000,1.56,1.56,8160000
154,2011-02-07,1.550,1.5500,1.53000,1.54,1.54,13426500
155,2011-02-08,1.590,1.6800,1.53000,1.63,1.63,52573500
156,2011-02-09,1.610,1.6100,1.52000,1.55,1.55,39534000
157,2011-02-10,1.550,1.5800,1.52000,1.55,1.55,12541500
158,2011-02-11,1.550,1.5800,1.53000,1.55,1.55,9517500
159,2011-02-14,1.580,1.6100,1.54000,1.54,1.54,19246500
160,2011-02-15,1.530,1.5400,1.50000,1.52,1.52,14305500
161,2011-02-16,1.540,1.6600,1.54000,1.65,1.65,61726500
162,2011-02-17,1.640,1.7000,1.57000,1.57,1.57,39276000
163,2011-02-18,1.560,1.5700,1.53000,1.55,1.55,35560500
164,2011-02-22,1.530,1.5300,1.45000,1.46,1.46,30969000
165,2011-02-23,1.480,1.5000,1.41000,1.46,1.46,24084000
166,2011-02-24,1.450,1.5100,1.43000,1.50,1.50,15829500
167,2011-02-25,1.520,1.5900,1.51000,1.57,1.57,20194500
168,2011-02-28,1.580,1.6100,1.57000,1.59,1.59,15768000
169,2011-03-01,1.600,1.6200,1.58000,1.60,1.60,16596000
170,2011-03-02,1.590,1.6200,1.58000,1.60,1.60,9949500
171,2011-03-03,1.630,1.6500,1.60000,1.62,1.62,9603000
172,2011-03-04,1.630,1.6700,1.59000,1.66,1.66,23701500
173,2011-03-07,1.660,1.6900,1.65000,1.66,1.66,30504000
174,2011-03-08,1.640,1.6600,1.60000,1.64,1.64,20998500
175,2011-03-09,1.640,1.6700,1.62000,1.65,1.65,13872000
176,2011-03-10,1.630,1.6300,1.58000,1.60,1.60,15255000
177,2011-03-11,1.590,1.6200,1.57000,1.60,1.60,13962000
178,2011-03-14,1.590,1.6000,1.55000,1.55,1.55,17490000
179,2011-03-15,1.480,1.5300,1.45000,1.53,1.53,19782000
180,2011-03-16,1.520,1.5500,1.51000,1.52,1.52,17545500
181,2011-03-17,1.550,1.5600,1.51000,1.52,1.52,13839000
182,2011-03-18,1.550,1.5500,1.50000,1.53,1.53,10318500
183,2011-03-21,1.540,1.5400,1.50000,1.52,1.52,6175500
184,2011-03-22,1.520,1.5200,1.47000,1.48,1.48,8743500
185,2011-03-23,1.470,1.4800,1.45000,1.48,1.48,6342000
186,2011-03-24,1.480,1.4900,1.47000,1.49,1.49,6933000
187,2011-03-25,1.500,1.5300,1.49000,1.52,1.52,8520000
188,2011-03-28,1.510,1.5700,1.50000,1.55,1.55,15871500
189,2011-03-29,1.550,1.6000,1.55000,1.59,1.59,11331000
190,2011-03-30,1.610,1.6300,1.53000,1.58,1.58,18349500
191,2011-03-31,1.770,1.9100,1.77000,1.85,1.85,172767000
192,2011-04-01,1.830,1.8800,1.77000,1.78,1.78,42972000
193,2011-04-04,1.790,1.8000,1.68000,1.72,1.72,39139500
194,2011-04-05,1.730,1.8000,1.71000,1.78,1.78,47713500
195,2011-04-06,1.800,1.8000,1.72000,1.77,1.77,19324500
196,2011-04-07,1.790,1.8600,1.76000,1.82,1.82,42154500
197,2011-04-08,1.840,1.8400,1.76000,1.77,1.77,29196000
198,2011-04-11,1.760,1.7700,1.67000,1.68,1.68,20541000
199,2011-04-12,1.670,1.6800,1.62000,1.64,1.64,20361000
200,2011-04-13,1.680,1.7100,1.65000,1.66,1.66,18172500
201,2011-04-14,1.660,1.6900,1.61000,1.68,1.68,14751000
202,2011-04-15,1.710,1.7500,1.69000,1.71,1.71,14152500
203,2011-04-18,1.680,1.7100,1.62000,1.67,1.67,15508500
204,2011-04-19,1.680,1.6800,1.64000,1.68,1.68,8230500
205,2011-04-20,1.710,1.7400,1.69000,1.72,1.72,12558000
206,2011-04-21,1.720,1.8000,1.71000,1.78,1.78,20791500
207,2011-04-25,1.780,1.7800,1.73000,1.76,1.76,12013500
208,2011-04-26,1.780,1.8200,1.75000,1.80,1.80,21000000
209,2011-04-27,1.800,1.8200,1.78000,1.81,1.81,14953500
210,2011-04-28,1.800,1.8500,1.78000,1.84,1.84,24000000
211,2011-04-29,1.850,1.8600,1.83000,1.84,1.84,10890000
212,2011-05-02,1.840,1.8500,1.80000,1.83,1.83,11769000
213,2011-05-03,1.830,1.8300,1.77000,1.79,1.79,13708500
214,2011-05-04,1.790,1.8000,1.72000,1.78,1.78,15667500
215,2011-05-05,1.810,1.8300,1.74000,1.76,1.76,18277500
216,2011-05-06,1.790,1.8500,1.77000,1.81,1.81,14725500
217,2011-05-09,1.800,1.8700,1.79000,1.86,1.86,13746000
218,2011-05-10,1.880,1.9300,1.86000,1.89,1.89,23029500
219,2011-05-11,1.880,1.8900,1.79000,1.80,1.80,14437500
220,2011-05-12,1.800,1.8500,1.78000,1.84,1.84,9420000
221,2011-05-13,1.870,1.8800,1.82000,1.84,1.84,9922500
222,2011-05-16,1.870,1.8700,1.77000,1.77,1.77,11335500
223,2011-05-17,1.800,1.8000,1.71000,1.73,1.73,18513000
224,2011-05-18,1.740,1.7600,1.70000,1.76,1.76,10942500
225,2011-05-19,1.800,1.9000,1.77000,1.88,1.88,39826500
226,2011-05-20,1.880,1.8900,1.82000,1.86,1.86,12637500
227,2011-05-23,1.840,1.8400,1.77000,1.79,1.79,12954000
228,2011-05-24,1.800,1.8300,1.77000,1.78,1.78,9205500
229,2011-05-25,1.790,1.9300,1.74000,1.93,1.93,70396500
230,2011-05-26,1.920,1.9800,1.87000,1.97,1.97,50053500
231,2011-05-27,1.970,1.9800,1.92000,1.97,1.97,25306500
232,2011-05-31,1.980,2.0200,1.97000,2.01,2.01,49357500
233,2011-06-01,2.000,2.0100,1.89000,1.90,1.90,22948500
234,2011-06-02,1.900,1.9500,1.90000,1.92,1.92,14794500
